ID,Clase,NOMBRE COMERCIAL,DIRECCION,Latitud,Longitud
1,1,Airport Inn,Av. Grau Nro. 191 -,-12.173850,-76.95471
2,1,Allpa Hotel & Suites,Clle Atahualpa Nro. 199 - Urb. Miraflores (Esq. Con Av. Dos De Mayo),-12.115900,-77.03058
3,1,Antara,Clle Alcanfores Nro. 450 - Urb. Miraflores,-12.127450,-77.02809
4,1,Carmel Hotel,Clle Atahualpa Nro. 152 -,-12.115900,-77.03058
5,1,Casa Cielo,Clle Berlin Nro. 370 - Urb. Miraflores,-12.120130,-77.03709
6,1,El Tambo Dos De Mayo,Av. Dos De Mayo Nro. 494 -,-12.090618,-77.036992
7,1,Embajadores Hotel,Clle Cmdte Juan Fanning Nro. 320 -,-12.128601,-77.032563
8,1,Esperanza,Clle Esperanza Nro.  350 -,-12.120385,-77.026296
9,1,Faraona Grand Hotel,Clle Manuel Bonilla Nro. 185,-12.119666,-77.0271031
10,1,Ferré Miraflores,Clle Diego Ferre Nro. 235 - Urb. Miraflores (Alt. Cdra. 13 Av. Larco),-12.119677,-77.02706019
11,2,Casa Andina Select Miraflores,Clle Schell Nro. 452 -,-12.12317067,-77.027296
12,2,Del Pilar Miraflores Hotel,Pj. Martir Olaya Nro. 141 - (Alt. Cdra. 1 Av. Jose Pardo),-12.11895218,-77.03676813
13,2,Four Points By Sheraton Miraflores,Calle Alcanfores Nro. 290 -,-12.1218416,-77.02781334
14,2,Hotel Boulevard,Av. Jose Pardo Nro. 771,-12.1191032,-77.03637796
15,2,Hotel Maria Angola,Av. La Paz Nro. 610,-12.12356661,-77.02698943
16,2,El Tambo Ii,Av. La Paz Nro. 720 - Urb. Miraflores,-12.1249207,-77.02715422
17,2,Hotel Jose Antonio,Av. 28 De Julio Nro. 398 - Urb. Miraflores (Alt. Cdra. 9 Av. Larco),-12.12632472,-77.03101995
18,2,Hotel Jose Antonio Deluxe,Clle Bellavista Nro. 131 137 -,-12.11981482,-77.03182797
19,2,Hotel Nobility,Av. Roosevelt (Ex-Republica De Panama) Nro. 6461 ,-12.12964185,-77.01775039
20,2,Hotel San Agustin Exclusive,Clle San Martin Nro. 550,-12.12618249,-77.0288757
21,3,Casa Andina Premium,Av. La Paz Nro. 463,-12.12189822,-77.02672309
22,3,Courtyard Lima Miraflores,Calle Schell Nro. 400 ,-12.12316622,-77.02775955
23,3,Double Tree El Pardo Hotel,Jr.  Independencia Nro. 141,-12.08911576,-77.08481632
24,3,Hilton Lima Miraflores,Av. La Paz Nro. 1099 - Urb. Miraflores,-12.12879537,-77.02636559
25,3,Hotel Miramar,Calle  Bolognesi Nro. 191 - (Alt. Cdra. 6 Av. Jose Pardo),-12.11986996,-77.03569296
26,3,Jw Marriott Hotel Lima,Av. Malecon De La Reserva Nro. 615,-12.13161122,-77.02921304
27,3,Miraflores park  Hotel,Av. Malecon De La Reserva Nro. 1035,-12.13504457,-77.02729456
28,3,Sol De Oro Suites Hotel,Calle San Martin Nro. 305 -,-12.12490215,-77.03113547
29,3,HOTEL CROWNE PLAZA LIMA , Av. Benavides 300 - Calle Colon Nro. 131 ,-12.12439491,-77.03008976
30,3,Ac Hotels Lima Miraflores,Mlc. De La Reserva Nro. 729 ,-12.13270174,-77.02934647
